order,initial,first_headword,classifying_headword,note,last_headword,entry_count,base_filename,lex_filename,plaintext_filename
117,šɔ,šɔ,šɔ,,šɔ̀ʔ,33,BASE.LH-SHOH.TXE,lex.LH-SHOH.TXE.txt,BASE.LH-SHOH.TXE.txt
118,šɨ,šɨ,šɨ,,šɨ̄-šɨ̄,34,BASE.LH-SHIH.TXE,lex.LH-SHIH.TXE.txt,BASE.LH-SHIH.TXE.txt
119,šɨ,šɨ̂ʔ,šɨ̂ʔ,,šwɛ̀,31,BASE.LH-SHIHQ.TXE,lex.LH-SHIHQ.TXE.txt,BASE.LH-SHIHQ.TXE.txt
120,ya,ya,ya,,yā-mí=tɔ̄,23,BASE.LH-YA.TXE,lex.LH-YA.TXE.txt,BASE.LH-YA.TXE.txt
121,ya,yâʔ,yâʔ,,yàʔ-yí(=šī),35,BASE.LH-YAQ.TXE,lex.LH-YAQ.TXE.txt,BASE.LH-YAQ.TXE.txt
122,yi,,yí(n),(skipped 1 non-syllabic entry to classify),yòʔ-qō  ~  yò-qō,49,BASE.LH-YI.TXE,lex.LH-YI.TXE.txt,BASE.LH-YI.TXE.txt
123,yɛ,,yɛ ɛ̀,(skipped 1 non-syllabic entry to classify),yɛ̀ʔ,12,BASE.LH-YEH.TXE,lex.LH-YEH.TXE.txt,BASE.LH-YEH.TXE.txt
124,yɔ,yɔ,yɔ,,ywɛ̂,52,BASE.LH-YOH.TXE,lex.LH-YOH.TXE.txt,BASE.LH-YOH.TXE.txt
125,fa,fa,fa,,fwɛ́-šī  ~  hwɛ́-šī,52,BASE.LH-F.TXE,lex.LH-F.TXE.txt,BASE.LH-F.TXE.txt
126,va,va,va,,vîʔthayûʔ,29,BASE.LH-VA.TXE,lex.LH-VA.TXE.txt,BASE.LH-VA.TXE.txt
127,ve,ve,ve,,vàw,43,BASE.LH-VE.TXE,lex.LH-VE.TXE.txt,BASE.LH-VE.TXE.txt
128,la,la,la,,lā-šɔ̄=phu,39,BASE.LH-LA.TXE,lex.LH-LA.TXE.txt,BASE.LH-LA.TXE.txt
129,la,lâʔ,lâʔ,,làʔ-lɔ̂  ~  lâʔ-lɔ ,18,BASE.LH-LAQ.TXE,lex.LH-LAQ.TXE.txt,BASE.LH-LAQ.TXE.txt
130,li,li  ~  lí,li  ~  lí,,lìʔ-fây  ~  li-fây,18,BASE.LH-LI.TXE,lex.LH-LI.TXE.txt,BASE.LH-LI.TXE.txt
131,lu,lu,lu,,lèʔ-pɛ̄,37,BASE.LH-LU.TXE,lex.LH-LU.TXE.txt,BASE.LH-LU.TXE.txt
132,lo,lo,lo,,lòʔ-pē,37,BASE.LH-LO.TXE,lex.LH-LO.TXE.txt,BASE.LH-LO.TXE.txt
133,lɛ,lɛ,lɛ,,lɛ̀ʔ-yɔ̄  ~  lɛ̀ʔ-ywɛ̄,47,BASE.LH-LEH.TXE,lex.LH-LEH.TXE.txt,BASE.LH-LEH.TXE.txt
134,lɔ,lɔ,lɔ,,lɔ̀ʔ-qɔ́,56,BASE.LH-LOH.TXE,lex.LH-LOH.TXE.txt,BASE.LH-LOH.TXE.txt
135,lə,lə,lə,,lwɛ̀ʔ,31,BASE.LH-LUH.TXE,lex.LH-LUH.TXE.txt,BASE.LH-LUH.TXE.txt
